--stream .\stream-histogram-greedy-optimal-fine-to-coarse-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
3.45833 0.0246445
3.46528 0.0246445
3.47222 0.0245497
3.47917 0.0245226
3.48611 0.024909
3.49306 0.024909
3.5 0.0249633
3.50694 0.0253296
3.51389 0.0253296
3.52083 0.0253837
3.52778 0.0252888
3.53472 0.0252888
3.54167 0.0255939
3.54861 0.0255939
3.55556 0.0255058
3.5625 0.0258178
3.56944 0.0258178
3.57639 0.0260078
3.58333 0.0235121
3.59028 0.023546
3.59722 0.0225354
3.60417 0.0224948
3.61111 0.0224948
3.61806 0.0225016
3.625 0.0225016
3.63194 0.0224542
3.63889 0.0227661
3.64583 0.021335
3.65278 0.021335
3.65972 0.0213012
3.66667 0.021742
3.67361 0.021742
3.68056 0.0217624
3.6875 0.0214097
3.69444 0.0214097
3.70139 0.0213148
3.70833 0.0213148
3.71528 0.021403
3.72222 0.0214098
3.72917 0.0209621
3.73611 0.0213216
3.74306 0.0206839
3.75 0.0206839
3.75694 0.0209282
3.76389 0.0208468
3.77083 0.0208603
3.77778 0.0207655
3.78472 0.0203245
3.79167 0.0203586
3.79861 0.0201619
3.80556 0.0200602
3.8125 0.0202839
3.81944 0.0202839
3.82639 0.020284
3.83333 0.020589
3.84028 0.0206162
3.84722 0.0206162
3.85417 0.0204604
3.86111 0.0197277
3.86806 0.0190701
3.875 0.0190701
3.88194 0.0190361
3.88889 0.0190361
3.89583 0.0190904
3.90278 0.0193752
3.90972 0.0193344
3.91667 0.0193344
3.92361 0.0195922
3.93056 0.0187106
3.9375 0.0189005
3.94444 0.0190768
3.95139 0.0186766
3.95833 0.0186766
3.96528 0.0182902
3.97222 0.0188598
3.97917 0.0183444
3.98611 0.0183716
3.99306 0.0184123
4 0.0183512
4.00694 0.0183512
4.01389 0.0184054
4.02083 0.0181002
4.02778 0.01808
4.03472 0.0181206
4.04167 0.0180867
4.04861 0.0180867
4.05556 0.0181138
4.0625 0.0180255
4.06944 0.0178628
4.07639 0.0180054
4.08333 0.0180054
4.09028 0.0181612
4.09722 0.0182495
4.10417 0.0182495
4.11111 0.018236
4.11806 0.018202
4.125 0.0187648
4.13194 0.0188733
4.13889 0.0185208
4.14583 0.0185208
4.15278 0.0184462
4.15972 0.0184462
4.16667 0.0183919
4.17361 0.0180663
4.18056 0.0182562
4.1875 0.0177951
4.19444 0.0178968
4.20139 0.0178968
4.20833 0.0180732
4.21528 0.0180732
4.22222 0.0180935
4.22917 0.0180596
4.23611 0.0180053
4.24306 0.0181137
4.25 0.0168253
4.25694 0.0166897
4.26389 0.0166897
4.27083 0.016927
4.27778 0.016927
4.28472 0.0170423
4.29167 0.017022
4.29861 0.017022
4.30556 0.0173542
4.3125 0.0171644
4.31944 0.0172729
4.32639 0.0191718
4.33333 0.0184665
4.34028 0.0184665
4.34722 0.0184936
4.35417 0.0184936
4.36111 0.0185207
4.36806 0.0184597
4.375 0.0185411
4.38194 0.0185411
4.38889 0.0184462
4.39583 0.0183648
4.40278 0.0183648
4.40972 0.0183783
4.41667 0.0184665
4.42361 0.0184733
4.43056 0.0187445
4.4375 0.0187513
4.44444 0.0187309
4.45139 0.0185818
4.45833 0.0187785
4.46528 0.0183512
4.47222 0.0180325
4.47917 0.0180189
4.48611 0.0180732
4.49306 0.0178969
4.5 0.01789
4.50694 0.0179308
4.51389 0.0181003
4.52083 0.0183038
4.52778 0.017768
4.53472 0.0182902
4.54167 0.0181477
4.54861 0.0180121
4.55556 0.0187717
4.5625 0.0187852
4.56944 0.0187717
4.57639 0.0187717
4.58333 0.0185004
4.59028 0.0180664
4.59722 0.0185207
4.60417 0.0187513
4.61111 0.018792
4.61806 0.0185275
4.625 0.0185275
4.63194 0.0185004
4.63889 0.0185004
4.64583 0.0185547
4.65278 0.018046
4.65972 0.0180257
4.66667 0.0178358
4.67361 0.0174899
4.68056 0.0174357
4.6875 0.0174357
4.69444 0.0173814
4.70139 0.0173814
4.70833 0.0176324
4.71528 0.0178561
4.72222 0.0176934
4.72917 0.0176934
4.73611 0.0175781
4.74306 0.0177951
4.75 0.0178358
4.75694 0.0178901
4.76389 0.0178697
4.77083 0.0179307
4.77778 0.0176934
4.78472 0.0176934
4.79167 0.0176053
4.79861 0.0175781
4.80556 0.0175917
4.8125 0.0176459
4.81944 0.0176459
4.82639 0.0182563
4.83333 0.0182563
4.84028 0.0178494
4.84722 0.017829
4.85417 0.0179104
4.86111 0.0178901
4.86806 0.0178901
4.875 0.0178019
4.88194 0.0173747
4.88889 0.0171712
4.89583 0.0171712
4.90278 0.0172254
4.90972 0.0169949
4.91667 0.0167372
4.92361 0.0165948
4.93056 0.0165609
4.9375 0.0165337
4.94444 0.0164049
4.95139 0.0164049
4.95833 0.016493
4.96528 0.016493
4.97222 0.0163371
4.97917 0.0163371
4.98611 0.0163574
4.99306 0.0163438
5 0.0163371
5.00694 0.0164117
5.01389 0.0167304
5.02083 0.0167304
5.02778 0.0166151
5.03472 0.0165744
5.04167 0.0166083
5.04861 0.0166694
5.05556 0.0166829
5.0625 0.0164523
5.06944 0.0165134
5.07639 0.0165134
5.08333 0.016432
5.09028 0.0165202
5.09722 0.0167304
5.10417 0.0160251
5.11111 0.0160251
5.11806 0.0159573
5.125 0.0159302
5.13194 0.0158827
5.13889 0.0157606
5.14583 0.0156114
5.15278 0.01572
5.15972 0.01572
5.16667 0.0157742
5.17361 0.0158285
5.18056 0.0157132
5.1875 0.0155572
5.19444 0.0155572
5.20139 0.015625
5.20833 0.015096
5.21528 0.0152453
5.22222 0.0149876
5.22917 0.0147976
5.23611 0.0147976
5.24306 0.0147298
5.25 0.0147095
5.25694 0.0143907
5.26389 0.0144721
5.27083 0.0144382
5.27778 0.0141127
5.28472 0.0141059
5.29167 0.0141059
5.29861 0.0140381
5.30556 0.01435
5.3125 0.0142144
5.31944 0.0141873
5.32639 0.0142008
5.33333 0.0142008
5.34028 0.0140313
5.34722 0.0140652
5.35417 0.0129462
5.36111 0.013387
5.36806 0.0135159
5.375 0.0133803
5.38194 0.0129937
5.38889 0.0130683
5.39583 0.0140856
5.40278 0.0143907
5.40972 0.0144789
5.41667 0.0142347
5.42361 0.0139228
5.43056 0.0139228
5.4375 0.0139499
5.44444 0.0140042
5.45139 0.0137736
5.45833 0.013855
5.46528 0.0138482
5.47222 0.0138346
5.47917 0.0138957
5.48611 0.0140516
5.49306 0.0139432
5.5 0.0138482
5.50694 0.0137125
5.51389 0.0132921
5.52083 0.0132988
5.52778 0.0132988
5.53472 0.0132582
5.54167 0.0132311
5.54861 0.0132311
5.55556 0.0130615
5.5625 0.0128784
5.56944 0.0126343
5.57639 0.0126343
5.58333 0.0127631
5.59028 0.0127631
5.59722 0.0127835
5.60417 0.0128513
5.61111 0.0128581
5.61806 0.0129598
5.625 0.013014
5.63194 0.0132989
5.63889 0.0131429
5.64583 0.0131565
5.65278 0.0131565
5.65972 0.0131226
5.66667 0.0131293
5.67361 0.0134752
5.68056 0.013482
5.6875 0.0135159
5.69444 0.013604
5.70139 0.0135701
5.70833 0.0136922
5.71528 0.0134684
5.72222 0.0135634
5.72917 0.013482
5.73611 0.013699
5.74306 0.0136583
5.75 0.0136583
5.75694 0.0136583
5.76389 0.0134955
5.77083 0.0134955
5.77778 0.0134956
5.78472 0.0134345
5.79167 0.0134345
5.79861 0.013482
5.80556 0.013482
5.8125 0.0135566
5.81944 0.0135091
5.82639 0.0135091
5.83333 0.0135091
5.84028 0.0136787
5.84722 0.0136515
5.85417 0.0136515
5.86111 0.0137126
5.86806 0.0136855
5.875 0.013638
5.88194 0.0135566
5.88889 0.0135566
5.89583 0.0134277
5.90278 0.0133735
5.90972 0.0133735
5.91667 0.0132989
5.92361 0.0132989
5.93056 0.0135227
5.9375 0.0135227
5.94444 0.0135363
5.95139 0.0131633
5.95833 0.0129395
5.96528 0.0129395
5.97222 0.0127971
5.97917 0.0129802
5.98611 0.01317
5.99306 0.0130005
6 0.0129327
6.00694 0.012953
6.01389 0.0130073
6.02083 0.0127225
6.02778 0.0127428
6.03472 0.0127428
6.04167 0.0126614
6.04861 0.0121935
6.05556 0.0121935
6.0625 0.0122139
6.06944 0.012146
6.07639 0.012146
6.08333 0.0122206
6.09028 0.0122545
6.09722 0.0122545
6.10417 0.0122138
6.11111 0.0121392
6.11806 0.0121392
6.125 0.0119629
6.13194 0.0119629
6.13889 0.0119086
6.14583 0.0117323
6.15278 0.0118137
6.15972 0.0120646
6.16667 0.0120646
6.17361 0.0120443
6.18056 0.0118951
6.1875 0.0118272
6.19444 0.0118272
6.20139 0.0117594
6.20833 0.0118137
6.21528 0.0114
6.22222 0.0115221
6.22917 0.0115221
6.23611 0.0115085
6.24306 0.0116577
6.25 0.0114678
6.25694 0.0113186
6.26389 0.010905
6.27083 0.010905
6.27778 0.0107625
6.28472 0.0108575
6.29167 0.0108575
6.29861 0.010749
6.30556 0.0107557
6.3125 0.0107557
6.31944 0.0109727
6.32639 0.0106947
6.33333 0.0106947
6.34028 0.0104641
6.34722 0.0103014
6.35417 0.0103014
6.36111 0.0102064
6.36806 0.0101861
6.375 0.0103014
6.38194 0.0103014
6.38889 0.0101793
6.39583 0.0100233
6.40278 0.0100233
6.40972 0.0100165
6.41667 0.0101386
6.42361 0.0101454
6.43056 0.0100504
6.4375 0.0101657
6.44444 0.0101657
6.45139 0.0100301
6.45833 0.00994194
6.46528 0.00997585
6.47222 0.00988089
6.47917 0.00977917
6.48611 0.00944689
6.49306 0.00944689
6.5 0.00947397
6.50694 0.00926376
6.51389 0.00922985
6.52083 0.00920272
6.52778 0.00901963
6.53472 0.00901286
6.54167 0.00910781
6.54861 0.0089925
6.55556 0.0089925
6.5625 0.00914169
6.56944 0.00870766
6.57639 0.00885009
6.58333 0.00885009
6.59028 0.00887723
6.59722 0.00896537
6.60417 0.00896537
6.61111 0.00916204
6.61806 0.00916204
6.625 0.00914851
6.63194 0.00932483
6.63889 0.00950115
6.64583 0.00929769
6.65278 0.00920952
6.65972 0.00920952
6.66667 0.0093316
6.67361 0.0098538
6.68056 0.0101318
6.6875 0.00975884
6.69444 0.00987411
6.70139 0.00979953
6.70833 0.00979953
6.71528 0.0101115
6.72222 0.010342
6.72917 0.0102471
6.73611 0.0101115
6.74306 0.0101251
6.75 0.0101251
6.75694 0.010003
6.76389 0.0100979
6.77083 0.0102878
6.77778 0.0107422
6.78472 0.0107151
6.79167 0.0104709
6.79861 0.0104641
6.80556 0.0104641
6.8125 0.0102471
6.81944 0.0101861
6.82639 0.0101861
6.83333 0.0103624
6.84028 0.0103624
6.84722 0.0104234
6.85417 0.0103421
6.86111 0.0103692
6.86806 0.0103692
6.875 0.0103692
6.88194 0.0103895
6.88889 0.0104709
6.89583 0.0103828
6.90278 0.0101929
6.90972 0.0101589
6.91667 0.00996228
6.92361 0.00990126
6.93056 0.00984701
6.9375 0.00984699
6.94444 0.00984699
6.95139 0.00992835
6.95833 0.00992835
6.96528 0.00974527
6.97222 0.00996227
6.97917 0.00977919
6.98611 0.00977239
6.99306 0.00977239
7 0.00992157
7.00694 0.0098131
7.01389 0.00975884
7.02083 0.00971135
7.02778 0.00971135
7.03472 0.009691
7.04167 0.00969777
7.04861 0.00963672
7.05556 0.00966386
7.0625 0.00972493
7.06944 0.00972493
7.07639 0.00962998
7.08333 0.00967066
7.09028 0.00962316
7.09722 0.00979951
7.10417 0.00987412
7.11111 0.00994872
7.11806 0.0100505
7.125 0.0100979
7.13194 0.0100165
7.13889 0.0100165
7.14583 0.00984696
7.15278 0.00993514
7.15972 0.00993514
7.16667 0.00991481
7.17361 0.00962998
7.18056 0.00952146
7.1875 0.00952146
7.19444 0.00933836
7.20139 0.00933836
7.20833 0.0094401
7.21528 0.00950112
7.22222 0.00950112
7.22917 0.00954182
7.23611 0.00941298
7.24306 0.00931125
7.25 0.00939939
7.25694 0.00938584
7.26389 0.00941297
7.27083 0.00927731
7.27778 0.00914846
7.28472 0.00929091
7.29167 0.00929091
7.29861 0.00918916
7.30556 0.00888398
7.3125 0.00891791
7.31944 0.00891791
7.32639 0.00900607
7.33333 0.00906031
7.34028 0.00906031
7.34722 0.00906034
7.35417 0.00908746
7.36111 0.00901286
7.36806 0.00896539
7.375 0.00890435
7.38194 0.00896536
7.38889 0.00903996
7.39583 0.0088365
7.40278 0.00880259
7.40972 0.00866699
7.41667 0.0085585
7.42361 0.0087077
7.43056 0.00868054
7.4375 0.00826008
7.44444 0.00813804
7.45139 0.00813804
7.45833 0.00821265
7.46528 0.00821265
7.47222 0.00823295
7.47917 0.00823295
7.48611 0.00811091
7.49306 0.00811091
7.5 0.00807022
7.50694 0.00826686
7.51389 0.00826686
7.52083 0.00828041
7.52778 0.00821939
7.53472 0.00819903
7.54167 0.00819903
7.54861 0.00826007
7.55556 0.00826007
7.5625 0.00811765
7.56944 0.00843641
7.57639 0.00834825
7.58333 0.00834825
7.59028 0.00831433
7.59722 0.00812447
7.60417 0.00812447
7.61111 0.00828044
7.61806 0.00826006
7.625 0.00831431
7.63194 0.00828043
7.63889 0.00828043
7.64583 0.00816515
7.65278 0.00827366
7.65972 0.00842964
7.66667 0.0082533
7.67361 0.0082533
7.68056 0.008138
7.6875 0.00794814
7.69444 0.00798204
7.70139 0.00791421
7.70833 0.00791421
7.71528 0.00773786
7.72222 0.00774465
7.72917 0.00770396
7.73611 0.00758867
7.74306 0.00764293
7.75 0.00766329
7.75694 0.00795487
7.76389 0.00790745
7.77083 0.00797523
7.77778 0.00774469
7.78472 0.00794812
7.79167 0.00816516
7.79861 0.00805664
7.80556 0.00805664
7.8125 0.00809053
7.81944 0.00788708
7.82639 0.00788708
7.83333 0.00773788
7.84028 0.00764972
7.84722 0.00764972
7.85417 0.00750732
7.86111 0.00739201
7.86806 0.00739201
7.875 0.00726995
7.88194 0.00708007
7.88889 0.00718181
7.89583 0.00703937
7.90278 0.00704616
7.90972 0.00693087
7.91667 0.00696478
7.92361 0.00701901
7.93056 0.00701901
7.9375 0.00690369
7.94444 0.00690369
7.95139 0.00679523
7.95833 0.00670708
7.96528 0.00667318
7.97222 0.00672064
7.97917 0.00667995
7.98611 0.00662569
7.99306 0.00657144
8 0.00644258
8.00694 0.00642223
8.01389 0.00643579
8.02083 0.00643579
8.02778 0.00657822
8.03472 0.00634765
8.04167 0.00622554
8.04861 0.00622554
8.05556 0.006212
8.0625 0.00609672
8.06944 0.00600856
8.07639 0.00600856
8.08333 0.00604247
8.09028 0.00601535
8.09722 0.006151
8.10417 0.00583224
8.11111 0.00586617
8.11806 0.00591365
8.125 0.00595431
8.13194 0.00595431
8.13889 0.00604247
8.14583 0.00591364
8.15278 0.00598144
8.15972 0.00592721
8.16667 0.00610353
8.17361 0.00606962
8.18056 0.00606962
8.1875 0.00623236
8.19444 0.00622559
8.20139 0.00611708
8.20833 0.00611708
8.21528 0.00608316
8.22222 0.00595431
8.22917 0.00597466
8.23611 0.00591362
8.24306 0.00591362
8.25 0.00606958
8.25694 0.00606958
8.26389 0.00606958
8.27083 0.00595433
8.27778 0.00595433
8.28472 0.0059679
8.29167 0.00583904
8.29861 0.0057712
8.30556 0.00580511
8.3125 0.00580511
8.31944 0.00585258
8.32639 0.00563556
8.33333 0.00578475
8.34028 0.00578475
8.34722 0.00583901
8.35417 0.00583901
8.36111 0.00576439
8.36806 0.00576439
8.375 0.00575084
8.38194 0.00558133
8.38889 0.00552705
8.39583 0.00552705
8.40278 0.00545923
8.40972 0.0053711
8.41667 0.00535073
8.42361 0.00526257
8.43056 0.00523547
8.4375 0.00521512
8.44444 0.00525579
8.45139 0.00512697
8.45833 0.00523552
8.46528 0.00501848
8.47222 0.00518803
8.47917 0.00495068
8.48611 0.00506594
8.49306 0.00493707
8.5 0.00496419
8.50694 0.00485572
8.51389 0.00511339
8.52083 0.00518799
8.52778 0.00531004
8.53472 0.00514731
8.54167 0.00506592
8.54861 0.00514052
8.55556 0.00514052
8.5625 0.00512697
8.56944 0.00518119
8.57639 0.00495063
8.58333 0.00495063
8.59028 0.00487604
8.59722 0.00491676
8.60417 0.00489638
8.61111 0.00497099
8.61806 0.00518799
8.625 0.0051134
8.63194 0.00501165
8.63889 0.00518798
8.64583 0.00512697
8.65278 0.00457764
8.65972 0.00461155
8.66667 0.00499809
8.67361 0.00485572
8.68056 0.00472684
8.6875 0.00476753
