--stream stream-by-wavelet-norm-miranda-viscosity.txt
--stream-type by_wavelet_norm
--subsampling-factor 64
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 4 4 1

Bytes Errors 2448
0.763889 23.9057
0.770833 23.9057
0.777778 23.9057
0.784722 23.9057
0.791667 23.9057
0.798611 23.9057
0.805556 23.9057
0.8125 23.9057
0.819444 23.9057
0.826389 23.9057
0.833333 23.9057
0.840278 23.9057
0.847222 23.9057
0.854167 23.9057
0.861111 23.9057
0.868056 23.9057
0.875 23.9057
0.881944 23.9057
0.888889 23.9057
0.895833 23.9057
0.902778 23.9057
0.909722 23.9057
0.916667 23.9057
0.923611 23.9057
0.930556 23.9057
0.9375 23.9057
0.944444 23.9057
0.951389 23.9057
0.958333 24.0574
0.965278 24.2517
0.972222 24.5222
0.979167 24.8287
0.986111 25.5488
0.993056 26.1711
1 26.8367
1.00694 26.8367
1.01389 26.8367
1.02083 26.8367
1.02778 26.8367
1.03472 26.8367
1.04167 26.8367
1.04861 26.8367
1.05556 26.8367
1.0625 26.8367
1.06944 26.8367
1.07639 26.8367
1.08333 26.8367
1.09028 26.8367
1.09722 26.8408
1.10417 26.8408
1.11111 26.8408
1.11806 26.8408
1.125 26.8408
1.13194 26.8408
1.13889 26.8408
1.14583 26.8404
1.15278 26.8404
1.15972 26.8404
1.16667 26.8404
1.17361 26.8404
1.18056 26.8404
1.1875 26.8523
1.19444 26.8591
1.20139 26.8791
1.20833 26.8791
1.21528 26.8791
1.22222 26.8791
1.22917 26.8791
1.23611 26.8791
1.24306 26.8791
1.25 26.8791
1.25694 26.8791
1.26389 26.8791
1.27083 26.8791
1.27778 26.8791
1.28472 26.8791
1.29167 26.8791
1.29861 26.8791
1.30556 26.8791
1.3125 26.8791
1.31944 26.8791
1.32639 26.8791
1.33333 26.8791
1.34028 26.8791
1.34722 26.8791
1.35417 26.8791
1.36111 26.8791
1.36806 26.8791
1.375 26.8791
1.38194 26.8791
1.38889 26.8791
1.39583 26.8791
1.40278 26.8791
1.40972 26.8791
1.41667 26.8791
1.42361 26.8791
1.43056 26.8791
1.4375 26.8791
1.44444 26.8791
1.45139 26.8791
1.45833 26.8791
1.46528 26.8791
1.47222 26.8791
1.47917 26.8791
1.48611 26.8791
1.49306 26.8791
1.5 26.8791
1.50694 26.8791
1.51389 26.8791
1.52083 26.8791
1.52778 26.8791
1.53472 26.8791
1.54167 26.8791
