--stream stream-by-wavelet-norm-miranda-viscosity.txt
--stream-type by_wavelet_norm
--subsampling-factor 64
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 4 4 1

Bytes Errors 2448
0.736111 2.81718
0.743056 2.81718
0.75 2.81718
0.756944 2.81718
0.763889 2.81718
0.770833 2.81718
0.777778 2.81718
0.784722 2.81718
0.791667 2.81718
0.798611 2.81718
0.805556 2.81718
0.8125 2.81718
0.819444 2.81718
0.826389 2.81718
0.833333 2.81718
0.840278 2.81718
0.847222 2.81718
0.854167 2.81718
0.861111 2.81718
0.868056 2.81718
0.875 2.81718
0.881944 2.81718
0.888889 2.81718
0.895833 2.81718
0.902778 2.81718
0.909722 2.81718
0.916667 2.81718
0.923611 2.81718
0.930556 2.81718
0.9375 2.81718
0.944444 2.81718
0.951389 2.81718
0.958333 2.79483
0.965278 2.78584
0.972222 2.76569
0.979167 2.76742
0.986111 2.28475
0.993056 0.797275
1 1.32651
1.00694 1.32651
1.01389 1.32651
1.02083 1.32651
1.02778 1.32651
1.03472 1.32651
1.04167 1.32651
1.04861 1.32651
1.05556 1.32651
1.0625 1.32651
1.06944 1.32651
1.07639 1.32651
1.08333 1.32651
1.09028 1.32651
1.09722 1.32418
1.10417 1.32418
1.11111 1.32418
1.11806 1.32418
1.125 1.32418
1.13194 1.32418
1.13889 1.32418
1.14583 1.32451
1.15278 1.32451
1.15972 1.32451
1.16667 1.32451
1.17361 1.32451
1.18056 1.32451
1.1875 1.32037
1.19444 1.31987
1.20139 1.31862
1.20833 1.31862
1.21528 1.31862
1.22222 1.31862
1.22917 1.31862
1.23611 1.31862
1.24306 1.31862
1.25 1.31862
1.25694 1.31862
1.26389 1.31862
1.27083 1.31862
1.27778 1.31862
1.28472 1.31862
1.29167 1.31862
1.29861 1.31862
1.30556 1.31862
1.3125 1.31862
1.31944 1.31862
1.32639 1.31862
1.33333 1.31862
1.34028 1.31862
1.34722 1.31862
1.35417 1.31862
1.36111 1.31862
1.36806 1.31862
1.375 1.31862
1.38194 1.31862
1.38889 1.31862
1.39583 1.31862
1.40278 1.31862
1.40972 1.31862
1.41667 1.31862
1.42361 1.31862
1.43056 1.31862
1.4375 1.31862
1.44444 1.31862
1.45139 1.31862
1.45833 1.31862
1.46528 1.31862
1.47222 1.31862
1.47917 1.31862
1.48611 1.31862
1.49306 1.31862
1.5 1.31862
1.50694 1.31862
1.51389 1.31862
