--stream stream-histogram-greedy-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
1.35417 0.049825
1.36111 0.0500623
1.36806 0.0490926
1.375 0.0485094
1.38194 0.0473429
1.38889 0.0455526
1.39583 0.045227
1.40278 0.0445421
1.40972 0.0443183
1.41667 0.0442573
1.42361 0.0451456
1.43056 0.0453084
1.4375 0.0449354
1.44444 0.0443251
1.45139 0.0445285
1.45833 0.0445285
1.46528 0.0447184
1.47222 0.0431179
1.47917 0.0431179
1.48611 0.0428873
1.49306 0.0423177
1.5 0.0419243
1.50694 0.0412461
1.51389 0.0405409
1.52083 0.0404256
1.52778 0.0394219
1.53472 0.0383436
1.54167 0.0374823
1.54861 0.0378349
1.55556 0.0378349
1.5625 0.0384182
1.56944 0.0381266
1.57639 0.0380791
1.58333 0.0374281
1.59028 0.0374213
1.59722 0.0359836
1.60417 0.0356309
1.61111 0.0350884
1.61806 0.0344916
1.625 0.0355292
1.63194 0.0357055
1.63889 0.0357055
1.64583 0.0356988
1.65278 0.0358005
1.65972 0.0351833
1.66667 0.0342271
1.67361 0.0340711
1.68056 0.0341525
1.6875 0.0341865
1.69444 0.0332641
1.70139 0.0335422
1.70833 0.0324163
1.71528 0.0321112
1.72222 0.0317856
1.72917 0.0316297
1.73611 0.0315891
1.74306 0.0314602
1.75 0.0309109
1.75694 0.0313313
1.76389 0.030436
1.77083 0.0303073
1.77778 0.0297444
1.78472 0.0297919
1.79167 0.0296969
1.79861 0.0296969
1.80556 0.0297241
1.8125 0.0297241
1.81944 0.0296562
1.82639 0.030124
1.83333 0.0301376
1.84028 0.0300224
1.84722 0.0300224
1.85417 0.0292697
1.86111 0.0290798
1.86806 0.0293714
1.875 0.0293714
1.88194 0.0293104
1.88889 0.0293986
1.89583 0.0289713
1.90278 0.0289917
1.90972 0.0288899
1.91667 0.0281167
1.92361 0.0281167
1.93056 0.0279269
1.9375 0.0279269
1.94444 0.0279404
1.95139 0.0279404
1.95833 0.0277913
1.96528 0.0277846
1.97222 0.0277438
1.97917 0.0277777
1.98611 0.0281304
1.99306 0.0275607
2 0.0274047
2.00694 0.0271945
2.01389 0.0271945
2.02083 0.0269166
2.02778 0.0269166
2.03472 0.0268893
2.04167 0.0268485
2.04861 0.0268146
2.05556 0.0268757
2.0625 0.0275743
2.06944 0.0274725
2.07639 0.0281371
2.08333 0.0279133
2.09028 0.0278116
2.09722 0.0277777
2.10417 0.0283677
2.11111 0.0285034
2.11806 0.0284558
2.125 0.0284016
2.13194 0.0284151
2.13889 0.028232
2.14583 0.028232
2.15278 0.0281913
2.15972 0.0284491
2.16667 0.0284491
2.17361 0.0284695
2.18056 0.028327
2.1875 0.0283949
2.19444 0.0281983
2.20139 0.0281169
2.20833 0.0281373
2.21528 0.0281642
2.22222 0.0281575
2.22917 0.0281575
2.23611 0.0282253
2.24306 0.0280083
2.25 0.0277845
2.25694 0.0276421
2.26389 0.0274386
2.27083 0.0273504
2.27778 0.0273504
2.28472 0.0273504
2.29167 0.0273302
2.29861 0.0273302
2.30556 0.0269909
2.3125 0.0265909
2.31944 0.0265909
2.32639 0.026869
2.33333 0.026869
2.34028 0.0268351
2.34722 0.0268351
2.35417 0.0265706
2.36111 0.0265706
2.36806 0.026367
2.375 0.026367
2.38194 0.026306
2.38889 0.0263263
2.39583 0.0266316
2.40278 0.0266655
2.40972 0.0266655
2.41667 0.026523
2.42361 0.026618
2.43056 0.026618
2.4375 0.0265638
2.44444 0.0264282
2.45139 0.0264282
2.45833 0.0266045
2.46528 0.0265706
2.47222 0.0265163
2.47917 0.0261095
2.48611 0.0261095
2.49306 0.0259941
2.5 0.0258111
2.50694 0.0259738
2.51389 0.0259738
2.52083 0.0264146
2.52778 0.0263603
2.53472 0.0261434
2.54167 0.0261434
2.54861 0.0256212
2.55556 0.0262858
2.5625 0.0257432
2.56944 0.0258381
2.57639 0.0259059
2.58333 0.0259468
2.59028 0.0260076
2.59722 0.0260076
2.60417 0.0260144
2.61111 0.0259059
2.61806 0.0256007
2.625 0.0253498
2.63194 0.0254787
2.63889 0.0252684
2.64583 0.0252684
2.65278 0.0253972
2.65972 0.0255126
2.66667 0.0254922
2.67361 0.0254515
2.68056 0.0251735
2.6875 0.0251735
2.69444 0.0249023
2.70139 0.024536
2.70833 0.0245835
2.71528 0.0245835
2.72222 0.0244683
2.72917 0.0242716
2.73611 0.0242716
2.74306 0.0240139
2.75 0.0241427
2.75694 0.0241427
2.76389 0.0242783
2.77083 0.0241495
2.77778 0.0241495
2.78472 0.0242716
2.79167 0.0242716
2.79861 0.0242784
2.80556 0.0242784
2.8125 0.024319
2.81944 0.0242581
2.82639 0.0243259
2.83333 0.0243259
2.84028 0.0244547
2.84722 0.0244547
2.85417 0.0242241
2.86111 0.0242241
2.86806 0.0241969
2.875 0.0242647
2.88194 0.0242647
2.88889 0.0241834
2.89583 0.0241834
2.90278 0.0241359
2.90972 0.0242445
2.91667 0.0242852
2.92361 0.0241088
2.93056 0.0240546
2.9375 0.0240546
2.94444 0.0240205
2.95139 0.0240205
2.95833 0.0236883
2.96528 0.0236883
2.97222 0.0235663
2.97917 0.0235663
2.98611 0.0235189
2.99306 0.0235257
3 0.0233628
3.00694 0.0233628
3.01389 0.0231796
3.02083 0.0231796
3.02778 0.0231661
3.03472 0.0227863
3.04167 0.0227863
3.04861 0.0227795
3.05556 0.0233831
3.0625 0.0233831
3.06944 0.0234509
3.07639 0.0234849
3.08333 0.0234849
3.09028 0.0235255
3.09722 0.0238037
3.10417 0.0238037
3.11111 0.0238037
3.11806 0.0237018
3.125 0.0237018
3.13194 0.0232814
3.13889 0.0232814
3.14583 0.0235255
3.15278 0.0237019
3.15972 0.0237019
3.16667 0.0238036
3.17361 0.0238036
3.18056 0.024102
3.1875 0.0242173
3.19444 0.0242173
3.20139 0.0239054
3.20833 0.0239054
3.21528 0.0239597
3.22222 0.0238783
3.22917 0.0236137
3.23611 0.0236137
3.24306 0.0236611
3.25 0.0236611
3.25694 0.0237087
3.26389 0.0235256
3.27083 0.0237291
3.27778 0.0237562
3.28472 0.0237562
3.29167 0.023017
3.29861 0.0223659
3.30556 0.0223659
3.3125 0.0222439
3.31944 0.0222981
3.32639 0.0220065
3.33333 0.0220743
3.34028 0.0218845
3.34722 0.0218845
3.35417 0.0218641
