--stream .\stream-rmse-greedy-optimal-fine-to-coarse-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
1.40278 41.7413
1.40972 41.8389
1.41667 41.9336
1.42361 41.9819
1.43056 42.0329
1.4375 42.1357
1.44444 42.2361
1.45139 42.333
1.45833 42.431
1.46528 42.5244
1.47222 42.5998
1.47917 42.5986
1.48611 42.6942
1.49306 42.7513
1.5 42.7795
1.50694 42.8955
1.51389 43.0044
1.52083 43.1125
1.52778 43.2233
1.53472 43.331
1.54167 43.4417
1.54861 43.56
1.55556 43.6788
1.5625 43.794
1.56944 43.9098
1.57639 44.0233
1.58333 44.1314
1.59028 44.1588
1.59722 44.1909
1.60417 44.2038
1.61111 44.3093
1.61806 44.3093
1.625 44.3335
1.63194 44.3702
1.63889 44.3969
1.64583 44.4299
1.65278 44.4299
1.65972 44.4348
1.66667 44.4294
1.67361 44.4496
1.68056 44.4679
1.6875 44.4858
1.69444 44.4965
1.70139 44.4965
1.70833 44.5118
1.71528 44.5118
1.72222 44.5465
1.72917 44.5378
1.73611 44.556
1.74306 44.5676
1.75 44.5676
1.75694 44.5895
1.76389 44.5895
1.77083 44.5992
1.77778 44.5992
1.78472 44.6068
1.79167 44.625
1.79861 44.6666
1.80556 44.6666
1.8125 44.6987
1.81944 44.6959
1.82639 44.7104
1.83333 44.7397
1.84028 44.7397
1.84722 44.7566
1.85417 44.7785
1.86111 44.8241
1.86806 44.8241
1.875 44.8411
1.88194 44.8492
1.88889 44.9046
1.89583 44.9587
1.90278 44.973
1.90972 44.9976
1.91667 44.9976
1.92361 45.0255
1.93056 45.0394
1.9375 45.0531
1.94444 45.1057
1.95139 45.1627
1.95833 45.204
1.96528 45.1956
1.97222 45.2506
1.97917 45.2506
1.98611 45.2879
1.99306 45.3423
2 45.3979
2.00694 45.4558
2.01389 45.4694
2.02083 45.4952
2.02778 45.5499
2.03472 45.5635
2.04167 45.5662
2.04861 45.6191
2.05556 45.6741
2.0625 45.6741
2.06944 45.7055
2.07639 45.7545
2.08333 45.7545
2.09028 45.7724
2.09722 45.7724
2.10417 45.7803
2.11111 45.7803
2.11806 45.7963
2.125 45.7898
2.13194 45.8032
2.13889 45.8027
2.14583 45.8561
2.15278 45.8695
2.15972 45.8686
2.16667 45.9086
2.17361 45.9086
2.18056 45.9439
2.1875 45.9708
2.19444 45.9668
2.20139 46.0197
2.20833 46.0331
2.21528 46.0344
2.22222 46.0636
2.22917 46.0585
2.23611 46.0726
2.24306 46.0999
2.25 46.1565
2.25694 46.1778
2.26389 46.1767
2.27083 46.2263
2.27778 46.2825
2.28472 46.2976
2.29167 46.3113
2.29861 46.3673
2.30556 46.4221
2.3125 46.4221
2.31944 46.436
2.32639 46.4773
2.33333 46.4773
2.34028 46.5035
2.34722 46.5583
2.35417 46.614
2.36111 46.6445
2.36806 46.6445
2.375 46.6664
2.38194 46.7054
2.38889 46.7054
2.39583 46.7211
2.40278 46.7612
2.40972 46.7612
2.41667 46.7721
2.42361 46.7721
2.43056 46.7832
2.4375 46.7832
2.44444 46.7884
2.45139 46.787
2.45833 46.8182
2.46528 46.8182
2.47222 46.8475
2.47917 46.8603
2.48611 46.8525
2.49306 46.8649
2.5 46.8694
