--stream stream-rmse-greedy-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
1.40972 41.5164
1.41667 41.5863
1.42361 41.6794
1.43056 41.7755
1.4375 41.8806
1.44444 41.9216
1.45139 41.9532
1.45833 42.0481
1.46528 42.1438
1.47222 42.2389
1.47917 42.3432
1.48611 42.4397
1.49306 42.5428
1.5 42.6496
1.50694 42.7555
1.51389 42.8666
1.52083 42.9717
1.52778 43.0793
1.53472 43.1908
1.54167 43.3013
1.54861 43.4029
1.55556 43.5245
1.5625 43.5245
1.56944 43.6156
1.57639 43.7388
1.58333 43.8619
1.59028 43.9514
1.59722 43.9615
1.60417 44.0429
1.61111 44.0429
1.61806 44.1611
1.625 44.1611
1.63194 44.221
1.63889 44.2491
1.64583 44.2845
1.65278 44.3868
1.65972 44.4136
1.66667 44.4616
1.67361 44.4616
1.68056 44.4703
1.6875 44.4861
1.69444 44.4855
1.70139 44.5178
1.70833 44.5178
1.71528 44.5328
1.72222 44.5434
1.72917 44.5434
1.73611 44.548
1.74306 44.5373
1.75 44.5459
1.75694 44.5574
1.76389 44.5574
1.77083 44.5661
1.77778 44.5815
1.78472 44.5815
1.79167 44.5956
1.79861 44.6035
1.80556 44.6195
1.8125 44.6272
1.81944 44.6272
1.82639 44.6387
1.83333 44.6329
1.84028 44.6463
1.84722 44.6532
1.85417 44.6532
1.86111 44.6749
1.86806 44.6749
1.875 44.6924
1.88194 44.7084
1.88889 44.7084
1.89583 44.7163
1.90278 44.7106
1.90972 44.7263
1.91667 44.732
1.92361 44.7418
1.93056 44.7412
1.9375 44.7594
1.94444 44.766
1.95139 44.7882
1.95833 44.7851
1.96528 44.7918
1.97222 44.7949
1.97917 44.8102
1.98611 44.8127
1.99306 44.8085
2 44.8331
2.00694 44.8322
2.01389 44.8687
2.02083 44.8687
2.02778 44.9062
2.03472 44.9062
2.04167 44.9088
2.04861 44.9085
2.05556 44.9094
2.0625 44.9258
2.06944 44.9391
2.07639 44.9413
2.08333 44.9548
2.09028 44.9605
2.09722 44.9768
2.10417 44.9768
2.11111 44.9768
2.11806 44.994
2.125 44.994
2.13194 44.9981
2.13889 44.9981
2.14583 45.0148
2.15278 45.0175
2.15972 45.0536
2.16667 45.0536
2.17361 45.056
2.18056 45.0535
2.1875 45.0867
2.19444 45.0863
2.20139 45.1446
2.20833 45.1963
2.21528 45.2386
2.22222 45.269
2.22917 45.2764
2.23611 45.3024
2.24306 45.3024
2.25 45.3403
2.25694 45.3854
2.26389 45.3854
2.27083 45.4117
2.27778 45.4117
2.28472 45.4294
2.29167 45.4879
2.29861 45.5346
2.30556 45.5486
2.3125 45.5497
2.31944 45.6078
2.32639 45.6303
2.33333 45.6303
2.34028 45.6387
2.34722 45.6995
2.35417 45.729
2.36111 45.7287
2.36806 45.7592
2.375 45.7592
2.38194 45.8009
2.38889 45.8009
2.39583 45.8014
2.40278 45.7958
2.40972 45.8153
2.41667 45.8153
2.42361 45.8562
2.43056 45.8982
2.4375 45.9546
2.44444 45.98
2.45139 45.9737
2.45833 46.0278
2.46528 46.0688
2.47222 46.0688
2.47917 46.0908
2.48611 46.1149
2.49306 46.1234
2.5 46.1805
2.50694 46.2303
2.51389 46.2303
2.52083 46.2408
2.52778 46.3039
2.53472 46.3628
2.54167 46.4111
2.54861 46.4111
2.55556 46.4449
2.5625 46.4613
2.56944 46.4564
2.57639 46.4668
2.58333 46.4683
2.59028 46.4831
2.59722 46.4799
2.60417 46.4894
2.61111 46.4955
2.61806 46.4955
2.625 46.532
2.63194 46.532
2.63889 46.5544
2.64583 46.5544
2.65278 46.5679
2.65972 46.5679
2.66667 46.5697
2.67361 46.5697
2.68056 46.6068
2.6875 46.6643
2.69444 46.6643
2.70139 46.6864
2.70833 46.6864
2.71528 46.7036
2.72222 46.7323
2.72917 46.7323
2.73611 46.7445
2.74306 46.7445
2.75 46.7488
2.75694 46.7488
2.76389 46.7476
2.77083 46.7553
2.77778 46.8131
2.78472 46.8699
2.79167 46.8998
2.79861 46.8998
2.80556 46.9219
2.8125 46.9219
2.81944 46.929
2.82639 46.929
2.83333 46.9398
2.84028 46.9367
2.84722 46.9367
2.85417 46.9521
2.86111 46.9521
2.86806 46.9564
2.875 47.0208
2.88194 47.0349
2.88889 47.029
2.89583 47.09
2.90278 47.09
2.90972 47.0921
2.91667 47.0921
2.92361 47.1099
2.93056 47.1099
2.9375 47.1158
2.94444 47.1158
2.95139 47.1376
2.95833 47.1376
2.96528 47.1419
2.97222 47.1592
2.97917 47.2042
2.98611 47.2042
2.99306 47.2195
3 47.2195
3.00694 47.224
3.01389 47.224
3.02083 47.2333
3.02778 47.2333
3.03472 47.2499
3.04167 47.2499
3.04861 47.2567
3.05556 47.294
3.0625 47.294
3.06944 47.3158
3.07639 47.3158
3.08333 47.3333
3.09028 47.3534
3.09722 47.3519
3.10417 47.391
3.11111 47.391
3.11806 47.4057
3.125 47.4057
3.13194 47.4152
3.13889 47.4152
3.14583 47.4193
3.15278 47.4193
3.15972 47.4244
3.16667 47.4323
3.17361 47.4362
3.18056 47.446
3.1875 47.4408
3.19444 47.4504
3.20139 47.4529
3.20833 47.4868
3.21528 47.4868
3.22222 47.5033
3.22917 47.5033
3.23611 47.5185
3.24306 47.5185
3.25 47.5206
3.25694 47.5206
3.26389 47.54
3.27083 47.5344
3.27778 47.5389
3.28472 47.5357
3.29167 47.5517
3.29861 47.5517
3.30556 47.5534
3.3125 47.5514
3.31944 47.5552
3.32639 47.5492
3.33333 47.5906
3.34028 47.5906
3.34722 47.5956
3.35417 47.5956
3.36111 47.6135
3.36806 47.6302
3.375 47.6302
3.38194 47.6318
3.38889 47.6363
3.39583 47.6363
3.40278 47.6399
3.40972 47.6399
3.41667 47.6484
3.42361 47.6484
3.43056 47.6503
3.4375 47.6457
3.44444 47.6792
3.45139 47.693
3.45833 47.6921
3.46528 47.7182
3.47222 47.7182
3.47917 47.7335
3.48611 47.7444
3.49306 47.7444
3.5 47.7504
3.50694 47.7504
3.51389 47.7576
3.52083 47.7576
3.52778 47.7632
3.53472 47.7632
3.54167 47.7686
3.54861 47.7686
3.55556 47.7728
3.5625 47.8046
3.56944 47.8046
3.57639 47.808
3.58333 47.8272
3.59028 47.8272
3.59722 47.8295
3.60417 47.8265
3.61111 47.8596
