--stream .\stream-rmse-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
4.32639 48.638
4.33333 48.6465
4.34028 48.652
4.34722 48.652
4.35417 48.6682
4.36111 48.6682
4.36806 48.6757
4.375 48.699
4.38194 48.699
4.38889 48.715
4.39583 48.715
4.40278 48.7229
4.40972 48.7595
4.41667 48.7595
4.42361 48.769
4.43056 48.769
4.4375 48.7697
4.44444 48.7697
4.45139 48.7703
4.45833 48.802
4.46528 48.8277
4.47222 48.8277
4.47917 48.8357
4.48611 48.8357
4.49306 48.8416
4.5 48.8743
4.50694 48.8743
4.51389 48.8866
4.52083 48.9058
4.52778 48.9058
4.53472 48.9121
4.54167 48.9121
4.54861 48.9276
4.55556 48.9276
4.5625 48.9285
4.56944 48.9399
4.57639 48.9348
4.58333 48.9619
4.59028 49.0064
4.59722 49.0481
4.60417 49.0821
4.61111 49.0821
4.61806 49.0879
4.625 49.099
4.63194 49.0978
4.63889 49.1293
4.64583 49.1405
4.65278 49.1403
4.65972 49.1512
4.66667 49.1512
4.67361 49.1594
4.68056 49.1594
4.6875 49.1674
4.69444 49.1674
4.70139 49.169
4.70833 49.18
4.71528 49.1773
4.72222 49.2142
4.72917 49.2591
4.73611 49.2701
4.74306 49.269
4.75 49.2888
4.75694 49.2961
4.76389 49.3284
4.77083 49.3284
4.77778 49.3373
4.78472 49.3373
4.79167 49.3372
4.79861 49.3455
4.80556 49.3604
4.8125 49.3995
4.81944 49.4434
4.82639 49.4434
4.83333 49.4457
4.84028 49.4517
4.84722 49.4517
4.85417 49.4592
4.86111 49.4592
4.86806 49.4831
4.875 49.4831
4.88194 49.4911
4.88889 49.5154
4.89583 49.5154
4.90278 49.5269
4.90972 49.5269
4.91667 49.5285
4.92361 49.5285
4.93056 49.5405
4.9375 49.5405
4.94444 49.5613
4.95139 49.5722
4.95833 49.5804
4.96528 49.5995
4.97222 49.5995
4.97917 49.6148
4.98611 49.6176
4.99306 49.6177
5 49.6191
5.00694 49.6191
5.01389 49.6374
5.02083 49.6374
5.02778 49.6522
5.03472 49.6631
5.04167 49.6598
5.04861 49.6701
5.05556 49.6701
5.0625 49.6863
5.06944 49.6863
5.07639 49.6935
5.08333 49.7046
5.09028 49.7046
5.09722 49.7095
5.10417 49.7068
5.11111 49.7522
5.11806 49.7632
5.125 49.7717
5.13194 49.7819
5.13889 49.7804
5.14583 49.7834
5.15278 49.7824
5.15972 49.7954
5.16667 49.7954
5.17361 49.8148
5.18056 49.8245
5.1875 49.8217
5.19444 49.8666
5.20139 49.9116
5.20833 49.9445
5.21528 49.9445
5.22222 49.9529
5.22917 49.9529
5.23611 49.9536
5.24306 49.9536
5.25 49.9736
5.25694 50.0072
5.26389 50.0072
5.27083 50.014
5.27778 50.0248
5.28472 50.0213
5.29167 50.0483
5.29861 50.0483
5.30556 50.0629
5.3125 50.0629
5.31944 50.0598
5.32639 50.0955
5.33333 50.0955
5.34028 50.1071
5.34722 50.1497
5.35417 50.1497
5.36111 50.1544
5.36806 50.187
5.375 50.187
5.38194 50.2069
5.38889 50.2494
5.39583 50.2846
5.40278 50.2846
5.40972 50.2925
5.41667 50.2925
5.42361 50.3056
5.43056 50.3436
5.4375 50.3436
5.44444 50.3428
5.45139 50.3888
5.45833 50.4332
5.46528 50.465
5.47222 50.465
5.47917 50.4769
5.48611 50.5239
5.49306 50.5239
5.5 50.5489
5.50694 50.5489
5.51389 50.545
5.52083 50.545
5.52778 50.5495
5.53472 50.561
5.54167 50.561
5.54861 50.5914
5.55556 50.6034
5.5625 50.5978
5.56944 50.6441
5.57639 50.6756
5.58333 50.6756
5.59028 50.6813
5.59722 50.715
5.60417 50.715
5.61111 50.7339
5.61806 50.7576
5.625 50.7589
5.63194 50.8161
5.63889 50.8646
5.64583 50.9119
5.65278 50.9598
5.65972 51.012
5.66667 51.0612
5.67361 51.0861
5.68056 51.0861
5.6875 51.0987
5.69444 51.0987
5.70139 51.1297
5.70833 51.1752
5.71528 51.1864
5.72222 51.1824
5.72917 51.2106
5.73611 51.259
5.74306 51.259
5.75 51.264
5.75694 51.2691
5.76389 51.2691
5.77083 51.2997
5.77778 51.2997
5.78472 51.3191
5.79167 51.368
5.79861 51.4149
5.80556 51.4664
5.8125 51.4789
5.81944 51.4789
5.82639 51.5081
5.83333 51.548
5.84028 51.548
5.84722 51.5606
5.85417 51.611
5.86111 51.6603
5.86806 51.7093
5.875 51.7217
5.88194 51.719
5.88889 51.7208
5.89583 51.7208
5.90278 51.7546
5.90972 51.8074
5.91667 51.8546
5.92361 51.8931
5.93056 51.8931
5.9375 51.9064
5.94444 51.9064
5.95139 51.899
5.95833 51.9281
5.96528 51.9281
5.97222 51.9497
5.97917 51.9497
5.98611 51.9481
5.99306 51.9908
6 51.9908
6.00694 52.0206
6.01389 52.0482
6.02083 52.0482
6.02778 52.0553
6.03472 52.0553
6.04167 52.0539
6.04861 52.1168
6.05556 52.1315
6.0625 52.1285
6.06944 52.1645
6.07639 52.1645
6.08333 52.163
6.09028 52.1916
6.09722 52.1916
6.10417 52.2021
6.11111 52.2131
6.11806 52.2131
6.125 52.2374
6.13194 52.249
6.13889 52.2556
6.14583 52.2663
6.15278 52.2749
6.15972 52.3088
6.16667 52.3088
6.17361 52.3225
6.18056 52.3225
6.1875 52.3179
6.19444 52.3719
6.20139 52.3979
6.20833 52.3979
6.21528 52.4149
6.22222 52.4367
6.22917 52.4367
6.23611 52.4657
6.24306 52.5108
6.25 52.5559
6.25694 52.5963
6.26389 52.622
6.27083 52.6543
6.27778 52.6847
6.28472 52.6847
6.29167 52.6964
6.29861 52.6964
6.30556 52.7375
6.3125 52.7792
6.31944 52.7792
6.32639 52.7778
6.33333 52.7981
6.34028 52.7981
6.34722 52.8004
6.35417 52.8105
6.36111 52.8081
6.36806 52.8195
6.375 52.8195
6.38194 52.8299
6.38889 52.8511
6.39583 52.8511
6.40278 52.8675
6.40972 52.9068
6.41667 52.9434
6.42361 52.9783
6.43056 52.988
6.4375 52.981
6.44444 53.0363
6.45139 53.0472
6.45833 53.0472
6.46528 53.0711
6.47222 53.0711
6.47917 53.0782
6.48611 53.0782
6.49306 53.0824
6.5 53.0859
6.50694 53.0827
6.51389 53.1032
6.52083 53.143
6.52778 53.1893
6.53472 53.1893
6.54167 53.2131
6.54861 53.2538
6.55556 53.296
6.5625 53.3065
6.56944 53.3065
6.57639 53.3352
6.58333 53.3762
6.59028 53.4195
6.59722 53.4618
6.60417 53.4618
6.61111 53.4597
6.61806 53.5056
6.625 53.5472
6.63194 53.5826
6.63889 53.5933
6.64583 53.5933
6.65278 53.5979
6.65972 53.5979
6.66667 53.6449
6.67361 53.6767
6.68056 53.6767
6.6875 53.7412
6.69444 53.7821
6.70139 53.8253
6.70833 53.8253
6.71528 53.8437
6.72222 53.8437
6.72917 53.8525
6.73611 53.8957
6.74306 53.8957
6.75 53.8937
6.75694 53.9372
6.76389 53.9803
6.77083 54.0224
6.77778 54.0648
6.78472 54.1085
6.79167 54.1519
6.79861 54.1956
6.80556 54.2284
6.8125 54.2284
6.81944 54.2454
6.82639 54.2838
6.83333 54.3059
6.84028 54.3089
6.84722 54.348
6.85417 54.3922
6.86111 54.4357
6.86806 54.4801
6.875 54.5175
6.88194 54.5622
6.88889 54.6069
6.89583 54.6069
6.90278 54.6005
6.90972 54.6545
6.91667 54.7002
6.92361 54.7457
6.93056 54.7683
6.9375 54.7683
6.94444 54.7992
6.95139 54.8448
6.95833 54.891
6.96528 54.9372
6.97222 54.9839
6.97917 55.0311
6.98611 55.0547
6.99306 55.0547
7 55.0983
7.00694 55.1466
7.01389 55.1945
7.02083 55.2425
7.02778 55.2792
7.03472 55.2792
7.04167 55.3162
7.04861 55.3283
7.05556 55.3283
7.0625 55.3496
7.06944 55.397
7.07639 55.4458
7.08333 55.4946
7.09028 55.5435
7.09722 55.5934
7.10417 55.5934
7.11111 55.6357
7.11806 55.6921
7.125 55.7045
7.13194 55.7045
7.13889 55.7193
7.14583 55.7193
7.15278 55.7525
7.15972 55.8018
7.16667 55.8141
7.17361 55.8141
7.18056 55.8351
7.1875 55.8845
7.19444 55.9336
7.20139 55.9881
7.20833 56.0372
7.21528 56.0372
7.22222 56.0357
7.22917 56.0859
7.23611 56.1347
7.24306 56.1819
7.25 56.2304
7.25694 56.2802
7.26389 56.3309
