--stream stream-histogram-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
1.38194 0.209737
1.38889 0.209724
1.39583 0.210334
1.40278 0.208496
1.40972 0.208394
1.41667 0.208435
1.42361 0.208435
1.43056 0.204325
1.4375 0.204569
1.44444 0.204535
1.45139 0.204529
1.45833 0.203735
1.46528 0.203186
1.47222 0.203206
1.47917 0.203227
1.48611 0.198398
1.49306 0.1985
1.5 0.198541
1.50694 0.198527
1.51389 0.196981
1.52083 0.198011
1.52778 0.197991
1.53472 0.197937
1.54167 0.197937
1.54861 0.196492
1.55556 0.196329
1.5625 0.19635
1.56944 0.196357
1.57639 0.193664
1.58333 0.193841
1.59028 0.19397
1.59722 0.193922
1.60417 0.19342
1.61111 0.193447
1.61806 0.193542
1.625 0.193556
1.63194 0.192437
1.63889 0.190863
1.64583 0.19087
1.65278 0.190857
1.65972 0.190511
1.66667 0.187324
1.67361 0.187147
1.68056 0.187154
1.6875 0.187154
1.69444 0.186564
1.70139 0.186408
1.70833 0.18634
1.71528 0.186354
1.72222 0.185445
1.72917 0.185757
1.73611 0.185716
1.74306 0.185642
1.75 0.188212
1.75694 0.186761
1.76389 0.186679
1.77083 0.186726
1.77778 0.186726
1.78472 0.181905
1.79167 0.18202
1.79861 0.181986
1.80556 0.182
1.8125 0.178202
1.81944 0.178277
1.82639 0.178263
1.83333 0.178263
1.84028 0.175428
1.84722 0.175849
1.85417 0.175828
1.86111 0.175788
1.86806 0.172058
1.875 0.171075
1.88194 0.171048
1.88889 0.171054
1.89583 0.171054
1.90278 0.169026
1.90972 0.168972
1.91667 0.168986
1.92361 0.168972
1.93056 0.168376
1.9375 0.168525
1.94444 0.168423
1.95139 0.168443
1.95833 0.164049
1.96528 0.163527
1.97222 0.16352
1.97917 0.16352
1.98611 0.161282
1.99306 0.158874
2 0.159105
2.00694 0.159098
2.01389 0.161173
2.02083 0.156216
2.02778 0.156664
2.03472 0.156657
2.04167 0.156643
2.04861 0.153537
2.05556 0.1529
2.0625 0.153042
2.06944 0.153035
2.07639 0.151164
2.08333 0.15077
2.09028 0.150696
2.09722 0.150709
2.10417 0.150872
2.11111 0.148607
2.11806 0.14881
2.125 0.148777
2.13194 0.145277
2.13889 0.144985
2.14583 0.144897
2.15278 0.144918
2.15972 0.144925
2.16667 0.142931
2.17361 0.143046
2.18056 0.143093
2.1875 0.143093
